ModelID;OrganismID;Org;Factor4ID;Factor4;ymax;h0;Coefficients;TempMin;TempMax;PHMin;PHMax;AwMin;AwMax;Factor4Min;Factor4Max;DefaultTemp;DefaultPH;DefaultAw;DefaultNaCl;DefaultFactor4;DefaultInoc;StdErr;H0StdErr
1;ah;Aeromonas hydrophila;NULL;NULL;17;6.69;"-26.034;0.2627;6.8356;0;0;0;1.59297;-0.00444;-0.52104;-125.70625;0;0;0;0;0";2;37;4.6;7.5;0.974;1;0;0;20;7;0.997;0.5;NULL;3;0.340000003576279;0.600000023841858
1;bc;Bacillus cereus with CO2(%);co2;CO2;17.5;8.21;"-4.362;0.1508;0;0;0.01171;-0.17973;1.44172;-0.00199;0;-59.57447;0;0;-0.001798;0.05999407;0";5;34;4.9;7.4;0.94;1;0;60;20;7;0.997;0.5;0;3;0.330000013113022;0.75
1;bl;Bacillus licheniformis;NULL;NULL;18;13.75;"-24.24;0.4651;5.079;-10.4;-0.004341;0.105;2.288;-0.005992;-0.3765;-54.43;0;0;0;0;0";13;34;4;7.6;0.907;1;0;0;20;7;0.997;0.5;NULL;3;0.389999985694885;0.629999995231628
1;bs;Bacillus subtilis;NULL;NULL;18;9.37;"-20.08;0.2005;4.878;1.918;0.00755;0.04137;-1.097;-0.002305;-0.3975;19.74;0;0;0;0;0";10;34;4.3;7.8;0.933;1;0;0;20;7;0.997;0.5;NULL;3;0.349999994039536;0.670000016689301
1;cbn;Clostridium botulinum (non-prot.);NULL;NULL;16.2;9.99;"-30.16;0.4477;7.168;24.66;0.0001342;-0.03425;-0.9938;-0.008835;-0.5234;-164.2;0;0;0;0;0";4;30;5.1;7.5;0.974;1;0;0;20;7;0.997;0.5;NULL;3;0.28999999165535;0.479999989271164
1;cbp;Clostridium botulinum (prot.);NULL;NULL;18;5.32;"-15.31;0.2794;2.559;12.08;0.01966;-0.06888;1.52;-0.005629;-0.2213;-162.7;0;0;0;0;0";14;40;4.7;7.2;0.954;1;0;0;20;7;0.997;0.5;NULL;3;0.273999989032745;0.600000023841858
1;cp;Clostridium perfringens;NULL;NULL;17.5;7.09;"-7.842;0.2645;0.5194;7.401;0.005316;0.09096;2.645;-0.003432;-0.05648;-153.3;0;0;0;0;0";15;52;5;8;0.971;1;0;0;20;7;0.997;0.5;NULL;3;0.284999996423721;0.600000023841858
1;ec;Escherichia coli with CO2(%);co2;CO2;20;3.16;"-18.4;0.3634;3.9607;0;0;-0.16349;0;-0.00499;-0.30274;-31.39356;0.01195;0.0002025;-0.00174;-0.01484;-0.0000821";10;42;4.5;7.5;0.961;1;0;100;20;7;0.997;0.5;0;3;0.340000003576279;0.629999995231628
1;lm;Listeria monocytogenes/innocua with CO2(%);co2;CO2;19.6;3.88;"-18.851;0.2409;4.2628;6.36771;0;0;0;-0.00332;-0.31377;-43.12409;0;0.00013;-0.00197;0;0";1;40;4.4;7.5;0.934;1;0;100;20;7;0.997;0.5;0;3;0.300000011920929;0.839999973773956
1;lm;Listeria monocytogenes/innocua with nitrite(ppm);nitrite;nitrite;19.6;3.88;"-18.851;0.2409;4.2628;6.36771;0;0;0;-0.00332;-0.31377;-43.12409;-0.0208589;-0.0000064;0.0028488;0.0019526;-0.0000021183";1;40;4.4;7.5;0.924;1;0;200;20;7;0.997;0.5;0;3;0.259999990463257;0.839999973773956
