food_name,foodex2_code,foodex2_label,foodex2_parent_code,foodex2_parent_label,ptm_category,state,scope_note,source_id
grains and grain based products,A000J,Grains and grain-based products,A0B6Z,Food,grain,unspecified,"The category covers all cereals and cereal-like grains in all their forms, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.£https://en.wikipedia.org/wiki/Cereal£https://www.google.co.uk/search?tbm=isch&q=Grains+grain+based+products",EFSA-FoodEx2-MTX-12.0
cereal dough based products,A0EZV,Cereal dough-based products,A000J,Grains and grain-based products,grain,unspecified,"The category covers any type of Composite products based on cereal flours and doughs, such as pasta, fine bakery wares, bread and related doughs£https://www.google.co.uk/search?tbm=isch&q=dough products",EFSA-FoodEx2-MTX-12.0
cereal grains,A0EZF,Cereal grains and similar and primary derivatives thereof,A000J,Grains and grain-based products,grain,unspecified,"The category covers all cereals and cereal-like grains, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.£https://en.wikipedia.org/wiki/Cereal£https://www.google.co.uk/search?tbm=isch&q=Cereal+grains",EFSA-FoodEx2-MTX-12.0
bakery products,A0BX1,Bakery products,A0EZV,Cereal dough-based products,grain,unspecified,The group includes products of the bakery industry. The part considered is by default the whole sold or prepared unit or a portion homogeneously representing the whole. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/List_of_baked_goods£https://www.google.co.uk/search?tbm=isch&q=Bakery+products,EFSA-FoodEx2-MTX-12.0
pasta products,A007D,Pasta and similar products,A0EZV,Cereal dough-based products,grain,unspecified,"The category includes any type of pasta and similar products, otherwise known in some regions under the name of noodles. By default it is not defined if the food items belonging to this group are cooked or not; therefore in case of cooked products (e.g. boiled pasta), the cooking method should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Pasta£https://www.google.co.uk/search?tbm=isch&q=Pasta raw",EFSA-FoodEx2-MTX-12.0
doughs and pre mixes,A008G,Raw doughs and pre-mixes,A0EZV,Cereal dough-based products,grain,raw,"The group includes any type of Raw doughs and pre-mixes, to be further used in producing bakery products and sweets. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough£https://www.google.co.uk/search?tbm=isch&q=dough and batter",EFSA-FoodEx2-MTX-12.0
muesli mixed breakfast cereals,A00EJ,Muesli and similar mixed breakfast cereals,A0EZF,Cereal grains and similar and primary derivatives thereof,grain,unspecified,"The group includes any type of Muesli, which is typically produced from mixtures of uncooked rolled cereals, mainly oats, and other breakfast cereals composed by a mixture of grains and possibly other ingredients. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Muesli+mixed+breakfast+cereals",EFSA-FoodEx2-MTX-12.0
cereal bars,A00EY,Cereal bars,A0EZF,Cereal grains and similar and primary derivatives thereof,grain,unspecified,"The group includes any type of Cereal bars. The bars are generally obtained by rolled and/or puffed cereals with eventual presence of other ingredients, bound with sugar syrups and cut in form of bars. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Cereal+bars",EFSA-FoodEx2-MTX-12.0
cereal grains,A000L,Cereal grains (and cereal-like grains),A0EZF,Cereal grains and similar and primary derivatives thereof,grain,unspecified,"The group includes any type of Cereal grain and cereal-like grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Grain£https://www.google.co.uk/search?tbm=isch&q=Cereal+grains+cereal+like+grains",EFSA-FoodEx2-MTX-12.0
porridge,A00EN,"Porridge (in dry form, to be diluted)",A0EZF,Cereal grains and similar and primary derivatives thereof,grain,unspecified,The group includes any type of dry Porridge to be diluted with milk or water. The term refers to e.g. cereal flakes or semolina intended to be used for making porridge. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Porridge dry,EFSA-FoodEx2-MTX-12.0
cereal,A0ETP,Cereal primary derivatives,A0EZF,Cereal grains and similar and primary derivatives thereof,grain,unspecified,The category covers Primary products derived from cereal and cereal-like grains.£https://en.wikipedia.org/wiki/Cereal,EFSA-FoodEx2-MTX-12.0
porridge,A0F0V,Porridge (ready to eat),A0EZF,Cereal grains and similar and primary derivatives thereof,grain,unspecified,"The group includes products known as porridge obtained by boiling or by soaking rolled, crushed, or steel cut grains or other cereal meals in water, milk, or both. Other ingredients can possibly be added. The characterising ingredients and the cooking/preparation method should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Porridge£https://www.google.co.uk/search?tbm=isch&q=Porridge",EFSA-FoodEx2-MTX-12.0
fine bakery wares,A009T,Fine bakery wares,A0BX1,Bakery products,grain,unspecified,The group includes any type of Fine bakery wares. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/List_of_baked_goods£https://www.google.co.uk/search?tbm=isch&q=Fine+bakery+wares,EFSA-FoodEx2-MTX-12.0
bread products,A004V,Bread and similar products,A0BX1,Bakery products,grain,unspecified,The group includes any type of Bread and similar products. No distinction among type and source of cereals is done in this group. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Bread£https://www.google.co.uk/search?tbm=isch&q=Bread+products,EFSA-FoodEx2-MTX-12.0
pasta plain uncooked,A007E,"Pasta, plain (not stuffed), uncooked",A007D,Pasta and similar products,grain,unspecified,"The group includes any type of plain pasta (i.e. not stuffed). By default it is not defined if the food items belonging to this group are cooked or not; therefore in case of cooked products (e.g. boiled pasta), the cooking method should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Pasta£https://www.google.co.uk/search?tbm=isch&q=Pasta wholemeal uncooked",EFSA-FoodEx2-MTX-12.0
filled pastas,A0ERE,Filled (stuffed) pastas,A007D,Pasta and similar products,grain,unspecified,"The group includes any type of filled/stuffed pasta. All the characterising ingredients should be reported with additional facet descriptors. By default it is not defined if the food items belonging to this group are cooked or not; therefore in case of cooked products (e.g. boiled pasta), the cooking method should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Pasta£https://www.google.co.uk/search?tbm=isch&q=stuffed pasta uncooked",EFSA-FoodEx2-MTX-12.0
pasta like products,A04LF,Pasta-like products,A007D,Pasta and similar products,grain,unspecified,"The group includes any type of Pasta-like products. By default it is not defined if the food items belonging to this group are cooked or not; therefore in case of cooked products (e.g. boiled products), the cooking method should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Pasta£https://www.google.co.uk/search?tbm=isch&q=Pasta-like products",EFSA-FoodEx2-MTX-12.0
yeast leavened sweet doughs,A008L,Yeast leavened sweet doughs,A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of Yeast leavened sweet doughs, i.e. sweet doughs risen by yeast fermentation. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough£https://www.google.co.uk/search?tbm=isch&q=Yeast+leavened+sweet+doughs",EFSA-FoodEx2-MTX-12.0
laminated doughs,A009L,Laminated doughs,A008G,Raw doughs and pre-mixes,grain,unspecified,The group includes any type of laminated dough. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Laminated_dough£https://www.google.co.uk/search?tbm=isch&q=Laminated+doughs,EFSA-FoodEx2-MTX-12.0
unleavened doughs,A008T,Unleavened doughs,A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of doughs made without using leavening agents. Most often, water provides the structure by evaporating during baking. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough£https://www.google.co.uk/search?tbm=isch&q=unleavened dough made without leavening agents",EFSA-FoodEx2-MTX-12.0
short pastry dough,A008X,Short pastry dough and similar,A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of Short pastry doughs, i.e. doughs generally produced with high levels of fat and prepared without gluten development in order to get a relatively brittle baked product. In this group the types of short pastry doughs that can be used for both sweet and salty products are included. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Shortcrust_pastry£https://www.google.co.uk/search?tbm=isch&q=Short+pastry+dough",EFSA-FoodEx2-MTX-12.0
yeast leavened bread doughs,A008H,Yeast leavened bread doughs,A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of Yeast leavened bread doughs, i.e. doughs used for production of bread or similar products risen by yeast fermentation. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough£https://www.google.co.uk/search?tbm=isch&q=Yeast leavened bread doughs uncooked",EFSA-FoodEx2-MTX-12.0
short sweet pastry doughs,A009B,"Short sweet pastry doughs (pate sucree, sablee)",A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of Short sweet pastry doughs such as pate sucree, pate sablee and similar. These doughs generally include sugars and high levels of fat and are prepared without gluten development in order to get a relatively brittle baked product. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Shortcrust_pastry£https://www.google.co.uk/search?tbm=isch&q=Short+sweet+pastry+doughs+",EFSA-FoodEx2-MTX-12.0
miscellaneous doughs,A009P,Miscellaneous doughs,A008G,Raw doughs and pre-mixes,grain,unspecified,The group includes miscellaneous doughs. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough,EFSA-FoodEx2-MTX-12.0
pre mixes for baked products,A0CSK,Pre-mixes (dry) for baked products,A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of mixed ingredients in dry form used to prepare the doughs for baked products, after addition of a proper liquid. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Baking_mix£https://www.google.co.uk/search?tbm=isch&q=premixes for baking",EFSA-FoodEx2-MTX-12.0
chemically leavened doughs,A008P,Chemically leavened doughs,A008G,Raw doughs and pre-mixes,grain,unspecified,"The group includes any type of Chemically leavened doughs, i.e. doughs leavened by using chemical raising agents which produce gas during the cooking process. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough£https://www.google.co.uk/search?tbm=isch&q=dough made with leavening agents other than yeast",EFSA-FoodEx2-MTX-12.0
choux pastry dough,A009G,Choux pastry dough and similar,A008G,Raw doughs and pre-mixes,grain,unspecified,The group includes any type of Choux pastry dough and similar. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/dough£https://www.google.co.uk/search?tbm=isch&q=Choux+pastry+doughs,EFSA-FoodEx2-MTX-12.0
cake pre mixes/batter,A009J,Cake pre-mixes/batter,A008G,Raw doughs and pre-mixes,grain,unspecified,The group includes any type of Cake batter and pre-mixes. However dry pre-mixes are not included in this group. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://en.wikipedia.org/wiki/Batter_(cooking)£https://www.google.co.uk/search?tbm=isch&q=Cake batter,EFSA-FoodEx2-MTX-12.0
muesli plain,A00EK,Muesli plain,A00EJ,Muesli and similar mixed breakfast cereals,grain,unspecified,"The group includes any type of Muesli plain, which is based only on cereals (i.e. without other major ingredients). The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Muesli+plain",EFSA-FoodEx2-MTX-12.0
mixed breakfast cereals,A00EL,Mixed breakfast cereals,A00EJ,Muesli and similar mixed breakfast cereals,grain,unspecified,"The group includes any type of Mixed breakfast cereals, including mixed muesli, usually made by cereal grains mixed with other ingredients, like raisins, chocolate, nuts and dried fruit. All the characterising ingredients should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=muesli with mixed ingredients",EFSA-FoodEx2-MTX-12.0
cereal bars mixed,A00FA,Cereal bars mixed,A00EY,Cereal bars,grain,unspecified,"The group includes any type of Cereal bars mixed, i.e. including considerable proportions of other ingredients (e.g. nuts, raisins, etc.). All the characterising ingredients should be reported with additional facet descriptors. The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Cereal bars mixed ingredients",EFSA-FoodEx2-MTX-12.0
cereal bars plain,A00EZ,Cereal bars plain,A00EY,Cereal bars,grain,unspecified,"The group includes any type of Cereal bars plain, substantially only based on cereals (i.e. without other major ingredients). The part consumed/analysed is by default the whole or a portion of it representing the observed heterogeneity.£https://www.google.co.uk/search?tbm=isch&q=Cereal+bars+plain",EFSA-FoodEx2-MTX-12.0
