food_category,pathogen,control_methods,notes,source_id
meats and poultry,Clostridium botulinum,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,Only concern in anoxic environments,IFT-2003-T1
meats and poultry,Clostridium perfringens,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
meats and poultry,Salmonella spp.,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
meats and poultry,Escherichia coli O157:H7,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
meats and poultry,Campylobacter jejuni,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
meats and poultry,Yersinia enterocolitica,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
meats and poultry,Staphylococcus aureus,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
meats and poultry,Listeria monocytogenes,time/temperature; pH; aw; preservatives; moisture protein ratio; fermentation; heat processing,,IFT-2003-T1
fish and seafood,Vibrio vulnificus,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,,IFT-2003-T1
fish and seafood,Vibrio parahaemolyticus,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,,IFT-2003-T1
fish and seafood,Vibrio cholerae,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,,IFT-2003-T1
fish and seafood,Clostridium botulinum,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,Only concern in anoxic environments,IFT-2003-T1
fish and seafood,Listeria monocytogenes,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,,IFT-2003-T1
fish and seafood,Salmonella spp.,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,,IFT-2003-T1
fish and seafood,Shigella spp.,time/temperature; harvest site control; fermentation; pH; aw; water-phase salt; preservatives; drying; salting,,IFT-2003-T1
