source_id,short_name,document_title,authors,year,publisher,table_or_section,url,doi,access_date
CDC-2019-T1T2,CDC Scallan Walter Tables 1-2,Foodborne Illness Acquired in the United States—Major Pathogens 2019,"Scallan Walter EJ, Cui Z, Tierney R, Griffin PM, Hoekstra RM, Payne DC, Rose EB, Devine C, Namwase AS, Mirza SA, Kambhampati AK, Straily A, Bruce BB",2025,Emerging Infectious Diseases 31(4):669-677,Tables 1 and 2 - Estimated illnesses hospitalizations and deaths circa 2019,https://wwwnc.cdc.gov/eid/article/31/4/24-0913_article,10.3201/eid3104.240913,2026-04-02
CDC-2019-A3,CDC Scallan Walter Appendix 3,Foodborne Illness Acquired in the United States—Major Pathogens 2019,"Scallan Walter EJ, Cui Z, Tierney R, Griffin PM, Hoekstra RM, Payne DC, Rose EB, Devine C, Namwase AS, Mirza SA, Kambhampati AK, Straily A, Bruce BB",2025,Emerging Infectious Diseases 31(4):669-677,Appendix 3 - Unrounded totals and credible intervals,https://wwwnc.cdc.gov/EID/article/31/4/24-0913-App1.pdf,10.3201/eid3104.240913,2026-04-02
CDC-2011-T2,CDC Scallan Table 2,Foodborne Illness Acquired in the United States—Major Pathogens,"Scallan E, Hoekstra RM, Angulo FJ, Tauxe RV, Widdowson MA, Roy SL, Jones JL, Griffin PM",2011,Emerging Infectious Diseases 17(1):7-15,Table 2 - Estimated annual illnesses,https://wwwnc.cdc.gov/eid/article/17/1/p1-1101_article,10.3201/eid1701.P11101,2026-03-12
CDC-2011-T3,CDC Scallan Table 3,Foodborne Illness Acquired in the United States—Major Pathogens,"Scallan E, Hoekstra RM, Angulo FJ, Tauxe RV, Widdowson MA, Roy SL, Jones JL, Griffin PM",2011,Emerging Infectious Diseases 17(1):7-15,Table 3 - Estimated hospitalizations and deaths,https://wwwnc.cdc.gov/eid/article/17/1/p1-1101_article,10.3201/eid1701.P11101,2026-03-12
CDC-2011-A1,CDC Scallan Appendix 1,Foodborne Illness Acquired in the United States—Major Pathogens,"Scallan E, Hoekstra RM, Angulo FJ, Tauxe RV, Widdowson MA, Roy SL, Jones JL, Griffin PM",2011,Emerging Infectious Diseases 17(1):7-15,Technical Appendix 1 - Methods and Data Sources,https://wwwnc.cdc.gov/eid/article/17/1/p1-1101-techapp1.pdf,10.3201/eid1701.P11101,2026-03-12
IFT-2003-T1,IFT/FDA Table 1,Evaluation and Definition of Potentially Hazardous Foods,Institute of Food Technologists,2003,Comprehensive Reviews in Food Science and Food Safety 2(s1):1-108,Table 1 - Pathogens of concern by food category,https://ift.onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2003.tb00052.x,10.1111/j.1541-4337.2003.tb00052.x,2026-03-11
IFT-2003-T31,IFT/FDA Table 3-1,Evaluation and Definition of Potentially Hazardous Foods,Institute of Food Technologists,2003,Comprehensive Reviews in Food Science and Food Safety 2(s1):1-108,Table 3-1 - Water activity values,https://ift.onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2003.tb00052.x,10.1111/j.1541-4337.2003.tb00052.x,2026-03-11
IFT-2003-T32,IFT/FDA Table 3-2,Evaluation and Definition of Potentially Hazardous Foods,Institute of Food Technologists,2003,Comprehensive Reviews in Food Science and Food Safety 2(s1):1-108,Table 3-2 - Minimum aw for pathogen growth,https://ift.onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2003.tb00052.x,10.1111/j.1541-4337.2003.tb00052.x,2026-03-11
IFT-2003-T33,IFT/FDA Table 3-3,Evaluation and Definition of Potentially Hazardous Foods,Institute of Food Technologists,2003,Comprehensive Reviews in Food Science and Food Safety 2(s1):1-108,Table 3-3 - pH ranges of foods,https://ift.onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2003.tb00052.x,10.1111/j.1541-4337.2003.tb00052.x,2026-03-11
IFT-2003-TA,IFT/FDA Table A,Evaluation and Definition of Potentially Hazardous Foods,Institute of Food Technologists,2003,Comprehensive Reviews in Food Science and Food Safety 2(s1):1-108,Table A - TCS classification (heat-treated),https://ift.onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2003.tb00052.x,10.1111/j.1541-4337.2003.tb00052.x,2026-03-11
IFT-2003-TB,IFT/FDA Table B,Evaluation and Definition of Potentially Hazardous Foods,Institute of Food Technologists,2003,Comprehensive Reviews in Food Science and Food Safety 2(s1):1-108,Table B - TCS classification (not treated),https://ift.onlinelibrary.wiley.com/doi/10.1111/j.1541-4337.2003.tb00052.x,10.1111/j.1541-4337.2003.tb00052.x,2026-03-11
FDA-PH-2007,FDA pH List,Approximate pH of Foods and Food Products,FDA Center for Food Safety and Applied Nutrition,2007,FDA/CFSAN,Complete pH list,https://www.fda.gov/food/laboratory-methods-food/approximate-ph-foods-and-food-products,,2026-03-12
FDA-BBB-2012,Bad Bug Book 2nd Ed,Bad Bug Book: Foodborne Pathogenic Microorganisms and Natural Toxins Handbook,FDA Center for Food Safety and Applied Nutrition,2012,FDA/CFSAN,2nd Edition,https://www.fda.gov/food/foodborne-pathogens/bad-bug-book-second-edition,,2026-03-11
EFSA-FoodEx2-MTX-12.0,EFSA FoodEx2 MTX v12.0,The food classification and description system FoodEx 2 (revision 2),European Food Safety Authority,2015,EFSA Supporting Publication 2015:EN-804,FoodEx2 Monitoring Total eXposure (MTX) catalogue version 12.0,https://efsa.onlinelibrary.wiley.com/doi/10.2903/sp.efsa.2015.EN-804,10.2903/sp.efsa.2015.EN-804,2026-05-07
